기준일,기준가격,재고량,수급안정화지수,환율,생산량,소비량
2017-01-01,9984.29,374047,76.63,1169.209961,172.16,174.21
2017-02-01,10619.5,381745,78.24,1133.939941,172.16,174.21
2017-03-01,10230.43,381883,74.56,1117.02002,172.16,174.21
2017-04-01,9668.61,375819,77.1,1135.640015,172.16,174.21
2017-05-01,9154.29,380589,80.06,1123.900024,172.16,174.21
2017-06-01,8930.68,377252,82.15,1146.140015,172.16,174.21
2017-07-01,9481.67,374066,82.86,1124.050049,172.16,174.21
2017-08-01,10852.95,380702,79.39,1123.329956,172.16,174.21
2017-09-01,11233.57,383687,71.55,1123.4,172.16,174.21
2017-10-01,11325.0,385273,68.84,1123.449951,172.16,174.21
2017-11-01,11992.73,381572,68.31,1080.660034,172.16,174.21
2017-12-01,11409.21,375277,62.63,1066.380005,172.16,174.21
2018-01-01,12880.23,363904,66.26,1072.540039,187.67,194.93
2018-02-01,13576.75,341650,52.38,1079.390015,187.67,194.93
2018-03-01,13403.57,327055,47.69,1059.900024,187.67,194.93
2018-04-01,13934.5,313979,48.57,1067.599976,187.67,194.93
2018-05-01,14356.43,305091,44.42,1075.030029,187.67,194.93
2018-06-01,15110.95,277338,41.73,1120.540039,187.67,194.93
2018-07-01,13772.05,263034,36.27,1116.670044,187.67,194.93
2018-08-01,13432.95,247131,46.92,1115.449951,187.67,194.93
2018-09-01,12527.25,233426,49.69,1109.160034,187.67,194.93
2018-10-01,12327.17,222923,56.57,1137.699951,187.67,194.93
2018-11-01,11253.41,215938,59.53,1117.02002,187.67,194.93
2018-12-01,10836.84,210087,69.12,1116.300049,187.67,194.93
2019-01-01,11454.55,202711,72.46,1109.0,202.52,202.51
2019-02-01,12649.75,199932,65.48,1115.099976,202.52,202.51
2019-03-01,13060.71,190370,55.47,1135.900024,202.52,202.51
2019-04-01,12819.0,177933,52.35,1158.790039,202.52,202.51
2019-05-01,11998.33,167069,54.25,1188.380005,202.52,202.51
2019-06-01,11970.0,165138,60.78,1155.51001,202.52,202.51
2019-07-01,13462.39,150812,60.04,1180.650024,202.52,202.51
2019-08-01,15682.14,146501,48.04,1207.160034,202.52,202.51
2019-09-01,17673.1,157163,34.51,1201.910034,202.52,202.51
2019-10-01,17113.48,98777,25.11,1163.699951,202.52,202.51
2019-11-01,15199.52,66532,26.65,1181.569946,202.52,202.51
2019-12-01,13800.5,111453,37.26,1156.349976,202.52,202.51
2020-01-01,13552.95,179491,47.78,1187.119995,210.68,203.57
2020-02-01,12743.5,215320,60.25,1200.099976,210.68,203.57
2020-03-01,11873.0,232690,60.75,1222.699951,210.68,203.57
2020-04-01,11753.2,229808,68.0,1210.790039,210.68,203.57
2020-05-01,12135.32,233283,68.4,1230.27002,210.68,203.57
2020-06-01,12703.27,233069,62.49,1198.48999,210.68,203.57
2020-07-01,13341.35,234680,56.98,1189.560059,210.68,203.57
2020-08-01,14486.85,237487,49.71,1179.589966,210.68,203.57
2020-09-01,14866.27,236803,39.97,1167.859985,210.68,203.57
2020-10-01,15219.36,237147,37.75,1129.52002,210.68,203.57
2020-11-01,15796.05,239572,35.01,1104.329956,210.68,203.57
2020-12-01,16807.05,244145,29.33,1086.420044,210.68,203.57
2021-01-01,17847.6,248962,25.78,1117.430054,232.06,246.85
2021-02-01,18568.05,249784,17.27,1123.369995,232.06,246.85
2021-03-01,16460.74,259988,13.16,1132.319946,232.06,246.85
2021-04-01,16480.7,261538,21.46,1106.630005,232.06,246.85
2021-05-01,17605.74,254402,18.41,1112.849976,232.06,246.85
2021-06-01,17943.23,239099,12.08,1130.51001,232.06,246.85
2021-07-01,18817.05,223977,11.3,1150.630005,232.06,246.85
2021-08-01,19160.43,202511,9.07,1165.51001,232.06,246.85
2021-09-01,19398.41,174107,9.08,1187.430054,232.06,246.85
2021-10-01,19420.24,146937,8.79,1174.380005,232.06,246.85
2021-11-01,19964.32,127940,7.9,1190.73999,232.06,246.85
2021-12-01,20070.24,107389,10.16,1189.890015,232.06,246.85
2022-01-01,22326.0,96308,8.81,1207.709961,257.43,250.29
2022-02-01,24178.0,84493,7.4,1197.589966,257.43,250.29
2022-03-01,25435.33,74771,6.24,1210.439941,257.43,250.29
2022-04-01,26692.67,73029,6.34,1263.380005,257.43,250.29
2022-05-01,27950.0,72630,8.12,1236.170044,257.43,250.29
2022-06-01,25837.5,69158,7.59,1301.72998,257.43,250.29
2022-07-01,21483.33,62707,9.82,1302.869995,257.43,250.29
2022-08-01,21997.73,56253,16.42,1350.189941,257.43,250.29
2022-09-01,22682.27,52855,16.37,1430.170044,257.43,250.29
2022-10-01,21935.71,52708,16.64,1421.650024,257.43,250.29
2022-11-01,25257.05,50815,17.82,1325.369995,257.43,250.29
2022-12-01,28853.75,53839,11.87,1260.910034,257.43,250.29
2023-01-01,28240.48,52518,9.53,1231.5,285.77,264.3
2023-02-01,26689.75,46778,9.59,1318.349976,285.77,264.3
2023-03-01,23307.17,44217,13.99,1296.5,285.77,264.3
2023-04-01,23756.67,41453,19.88,1337.319946,285.77,264.3
2023-05-01,22229.5,39225,18.54,1319.790039,285.77,264.3
2023-06-01,21192.95,38033,25.9,1323.069946,285.77,264.3
2023-07-01,20898.33,37747,29.55,1272.390015,285.77,264.3
2023-08-01,20497.73,37074,28.0,1323.030029,285.77,264.3
2023-09-01,19629.05,39516,30.97,1351.930054,285.77,264.3
2023-10-01,18255.23,43572,31.98,1348.069946,285.77,264.3
2023-11-01,16979.77,43515,41.74,1288.359985,285.77,264.3
2023-12-01,16388.68,51172,47.4,1293.530029,285.77,264.3
